%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
0, 61379.36, 49492.89, -16597.06, -21309.75, 6703.91, -3284.86, 7223.10, 1740.11, 0.040, 0.420, 0.238, 12:00:53.329, 1557936053329
1, 60973.46, 48972.47, -16279.02, -21050.13, 7045.02, -2887.53, 7593.09, 2118.70, 0.000, 0.000, 0.000, 12:00:53.336, 1557936053336
2, 61433.45, 49486.27, -16245.72, -20920.25, 7035.70, -2916.12, 7561.15, 2090.85, 0.000, 0.000, 0.000, 12:00:53.336, 1557936053336
3, 61788.96, 49917.57, -16488.30, -21147.99, 6770.81, -3223.32, 7286.27, 1805.86, 0.000, 0.000, 0.000, 12:00:53.343, 1557936053343
4, 61512.69, 49619.42, -16606.27, -21326.92, 6676.73, -3309.31, 7188.50, 1709.48, 0.000, 0.000, 0.000, 12:00:53.343, 1557936053343
5, 60988.50, 48976.52, -16344.53, -21154.36, 6952.42, -2958.16, 7481.04, 2029.85, 0.000, 0.000, 0.000, 12:00:53.351, 1557936053351
6, 61315.06, 49330.77, -16228.46, -20954.00, 7035.21, -2914.51, 7554.31, 2106.12, 0.000, 0.000, 0.000, 12:00:53.352, 1557936053352
7, 61769.25, 49873.18, -16460.85, -21159.12, 6771.26, -3225.07, 7291.07, 1823.68, 0.032, 0.626, 0.376, 12:00:53.360, 1557936053360
8, 61622.57, 49717.79, -16574.18, -21321.87, 6670.45, -3319.14, 7204.59, 1729.71, 0.000, 0.000, 0.000, 12:00:53.360, 1557936053360
9, 61061.59, 49044.09, -16355.02, -21197.70, 6914.80, -2998.60, 7478.65, 2022.79, 0.000, 0.000, 0.000, 12:00:53.366, 1557936053366
10, 61240.47, 49213.91, -16163.19, -20941.15, 7083.56, -2855.61, 7631.04, 2181.13, 0.000, 0.000, 0.000, 12:00:53.366, 1557936053366
11, 61796.87, 49864.80, -16376.45, -21086.48, 6833.33, -3156.56, 7356.96, 1897.19, 0.000, 0.000, 0.000, 12:00:53.373, 1557936053373
12, 61744.46, 49819.82, -16537.32, -21280.11, 6681.74, -3314.29, 7212.62, 1739.35, 0.000, 0.000, 0.000, 12:00:53.373, 1557936053373
13, 61160.23, 49131.93, -16414.16, -21256.15, 6851.06, -3083.83, 7418.61, 1952.34, 0.000, 0.000, 0.000, 12:00:53.381, 1557936053381
14, 61165.82, 49098.42, -16165.38, -20961.96, 7103.41, -2835.36, 7659.65, 2207.10, 0.000, 0.000, 0.000, 12:00:53.382, 1557936053382
15, 61760.48, 49799.93, -16340.85, -21046.87, 6885.99, -3104.03, 7407.46, 1955.08, 0.000, 0.000, 0.000, 12:00:53.388, 1557936053388
16, 61824.21, 49891.17, -16510.54, -21246.20, 6700.78, -3290.44, 7214.63, 1756.11, 0.000, 0.000, 0.000, 12:00:53.399, 1557936053399
17, 61294.61, 49277.73, -16452.60, -21282.41, 6792.31, -3140.06, 7339.37, 1890.11, 0.020, 0.732, 0.444, 12:00:53.400, 1557936053400
18, 61103.03, 49013.86, -16171.24, -20992.29, 7090.53, -2825.26, 7664.37, 2223.51, 0.000, 0.000, 0.000, 12:00:53.403, 1557936053403
19, 61696.47, 49703.89, -16276.85, -20992.47, 6939.32, -3028.62, 7493.06, 2045.88, 0.000, 0.000, 0.000, 12:00:53.403, 1557936053403
20, 61879.21, 49930.87, -16474.26, -21195.33, 6744.44, -3248.47, 7289.62, 1823.92, 0.000, 0.000, 0.000, 12:00:53.410, 1557936053410
21, 61442.13, 49426.43, -16479.09, -21279.55, 6771.10, -3186.33, 7332.44, 1866.66, 0.000, 0.000, 0.000, 12:00:53.411, 1557936053411
22, 61092.03, 48975.73, -16179.96, -21012.09, 7075.62, -2829.48, 7653.44, 2211.86, 0.000, 0.000, 0.000, 12:00:53.418, 1557936053418
23, 61601.83, 49559.94, -16258.21, -20981.96, 6959.48, -3003.54, 7512.20, 2071.34, 0.000, 0.000, 0.000, 12:00:53.419, 1557936053419
24, 61906.62, 49924.50, -16475.52, -21191.89, 6728.81, -3254.59, 7273.37, 1827.68, 0.000, 0.000, 0.000, 12:00:53.425, 1557936053425
